"decile","avg_predicted","avg_actual","n_policies"
1,0.0405055072186578,0.0359466037137157,67800
2,0.0476702440157275,0.0453771632686404,67799
3,0.0524501673340282,0.0471517227106419,67799
4,0.0568635427554916,0.0541864142036685,67799
5,0.0615878985956633,0.0616980143523725,67799
6,0.0671725990540055,0.0714201739536297,67799
7,0.0745371994871567,0.0812571906447657,67799
8,0.0866233681214866,0.0963931691537665,67799
9,0.112637749541685,0.117447743105647,67799
10,0.19443421525693,0.186242455634753,67799
