"factor","relativity","p_value"
"(Intercept)",0.0085,0
"VehPower",1.03,0
"VehAge",0.9907,0
"DrivAge",1.0052,0
"BonusMalus",1.0263,0
"VehGasRegular",0.8317,0
"AreaB",1.1043,2e-04
"AreaC",1.1939,0
"AreaD",1.3853,0
"AreaE",1.5023,0
"AreaF",1.5743,0
"RegionAquitaine",1.0752,0.5048
"RegionAuvergne",0.9116,0.4906
"RegionBasse-Normandie",1.0318,0.7843
"RegionBourgogne",1.0243,0.8381
"RegionBretagne",1.0668,0.5455
"RegionCentre",1.052,0.6306
"RegionChampagne-Ardenne",0.9159,0.5698
"RegionCorse",1.0428,0.7581
"RegionFranche-Comte",0.9249,0.686
"RegionHaute-Normandie",1.0021,0.9868
"RegionIle-de-France",0.9729,0.797
"RegionLanguedoc-Roussillon",1.0383,0.7298
"RegionLimousin",1.4039,0.0074
"RegionLorraine",0.9065,0.3906
"RegionMidi-Pyrenees",0.7568,0.0169
"RegionNord-Pas-de-Calais",1.019,0.8634
"RegionPays-de-la-Loire",1.0756,0.4971
"RegionPicardie",1.118,0.347
"RegionPoitou-Charentes",1.1019,0.3794
"RegionProvence-Alpes-Cotes-D'Azur",1.1349,0.2319
"RegionRhone-Alpes",1.2736,0.0218
